index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,title,song_ids,artist_name
0,0.7490000000000001,0.802,10,-5.78,0,0.2019999999999999,0.105,0.0,0.296,0.47,203.93400000000003,audio_features,5q62CK2DoFxdFBzFDCctDE,spotify:track:5q62CK2DoFxdFBzFDCctDE,https://api.spotify.com/v1/tracks/5q62CK2DoFxdFBzFDCctDE,https://api.spotify.com/v1/audio-analysis/5q62CK2DoFxdFBzFDCctDE,174357,4,Underground Rap,Big Tyma,,5q62CK2DoFxdFBzFDCctDE,Alkaline
1,0.4639999999999999,0.602,7,-8.185,1,0.125,0.86,0.0,0.162,0.664,166.748,audio_features,1npAOCsqbB618Zz4jOQxZL,spotify:track:1npAOCsqbB618Zz4jOQxZL,https://api.spotify.com/v1/tracks/1npAOCsqbB618Zz4jOQxZL,https://api.spotify.com/v1/audio-analysis/1npAOCsqbB618Zz4jOQxZL,162373,4,Underground Rap,Mozambique Drill,,1npAOCsqbB618Zz4jOQxZL,Mach-Hommy
2,0.5770000000000001,0.6920000000000001,11,-5.96,1,0.64,0.372,0.0596,0.0989,0.0658,144.702,audio_features,5zjdL4aLh3D3wOKeRkZSL6,spotify:track:5zjdL4aLh3D3wOKeRkZSL6,https://api.spotify.com/v1/tracks/5zjdL4aLh3D3wOKeRkZSL6,https://api.spotify.com/v1/audio-analysis/5zjdL4aLh3D3wOKeRkZSL6,122483,4,Underground Rap,2000 Rounds,,5zjdL4aLh3D3wOKeRkZSL6,Ghostemane
6,0.642,0.6940000000000001,11,-6.104,1,0.364,0.000335,0.0,0.312,0.568,106.41,audio_features,2TF0kVvksniUGEdwnBSw2v,spotify:track:2TF0kVvksniUGEdwnBSw2v,https://api.spotify.com/v1/tracks/2TF0kVvksniUGEdwnBSw2v,https://api.spotify.com/v1/audio-analysis/2TF0kVvksniUGEdwnBSw2v,143331,4,Underground Rap,85 to Africa,,2TF0kVvksniUGEdwnBSw2v,Jidenna
7,0.789,0.488,4,-9.093,0,0.2269999999999999,0.179,7.94e-06,0.104,0.0644,133.114,audio_features,23NWj2izXAJ4yL6Nah73wf,spotify:track:23NWj2izXAJ4yL6Nah73wf,https://api.spotify.com/v1/tracks/23NWj2izXAJ4yL6Nah73wf,https://api.spotify.com/v1/audio-analysis/23NWj2izXAJ4yL6Nah73wf,209453,4,Underground Rap,Pop Style,,23NWj2izXAJ4yL6Nah73wf,Drake
8,0.736,0.903,9,-7.249,0,0.225,0.0204,0.0,0.38,0.852,146.035,audio_features,2bsfVluDn82mSmTj0HXkrG,spotify:track:2bsfVluDn82mSmTj0HXkrG,https://api.spotify.com/v1/tracks/2bsfVluDn82mSmTj0HXkrG,https://api.spotify.com/v1/audio-analysis/2bsfVluDn82mSmTj0HXkrG,102000,4,Underground Rap,Hammer Bite,,2bsfVluDn82mSmTj0HXkrG,XZARKHAN
9,0.574,0.7040000000000001,8,-6.291,1,0.908,0.00525,0.0,0.0976,0.0975,205.758,audio_features,6FR2hlqPycfVIAoYq7BD1E,spotify:track:6FR2hlqPycfVIAoYq7BD1E,https://api.spotify.com/v1/tracks/6FR2hlqPycfVIAoYq7BD1E,https://api.spotify.com/v1/audio-analysis/6FR2hlqPycfVIAoYq7BD1E,106083,4,Underground Rap,WhereYoSafeAt,,6FR2hlqPycfVIAoYq7BD1E,Almighty Suspect
10,0.3939999999999999,0.6609999999999999,4,-8.684,1,0.192,0.00996,0.0,0.3429999999999999,0.335,149.81799999999998,audio_features,0HCVUpGn7trUlx9rOlxZIK,spotify:track:0HCVUpGn7trUlx9rOlxZIK,https://api.spotify.com/v1/tracks/0HCVUpGn7trUlx9rOlxZIK,https://api.spotify.com/v1/audio-analysis/0HCVUpGn7trUlx9rOlxZIK,260987,4,Underground Rap,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",,0HCVUpGn7trUlx9rOlxZIK,A$AP Rocky
11,0.601,0.7120000000000001,1,-9.433,1,0.0431,0.0848,0.0,0.479,0.386,114.998,audio_features,79nEEoEPY2w8EXj9hjn5oc,spotify:track:79nEEoEPY2w8EXj9hjn5oc,https://api.spotify.com/v1/tracks/79nEEoEPY2w8EXj9hjn5oc,https://api.spotify.com/v1/audio-analysis/79nEEoEPY2w8EXj9hjn5oc,154000,4,Underground Rap,Ginseng Strip 2002,,79nEEoEPY2w8EXj9hjn5oc,Yung Lean
12,0.636,0.8,11,-4.265,0,0.347,0.337,0.0,0.39,0.7040000000000001,177.31400000000002,audio_features,6n3q5ybuUQFT97ddyuxsFh,spotify:track:6n3q5ybuUQFT97ddyuxsFh,https://api.spotify.com/v1/tracks/6n3q5ybuUQFT97ddyuxsFh,https://api.spotify.com/v1/audio-analysis/6n3q5ybuUQFT97ddyuxsFh,238453,4,Underground Rap,Sleep Deprived (with Lute & Omen feat. Mez & DaVionne),,6n3q5ybuUQFT97ddyuxsFh,Dreamville
13,0.8029999999999999,0.534,11,-7.582000000000001,0,0.186,0.0467,0.0,0.134,0.331,117.93,audio_features,6SQ8EODy1IH8QrUT1BqDRX,spotify:track:6SQ8EODy1IH8QrUT1BqDRX,https://api.spotify.com/v1/tracks/6SQ8EODy1IH8QrUT1BqDRX,https://api.spotify.com/v1/audio-analysis/6SQ8EODy1IH8QrUT1BqDRX,130247,4,Underground Rap,Walk the Plank,,6SQ8EODy1IH8QrUT1BqDRX,Da$H
14,0.7709999999999999,0.629,1,-3.574,0,0.145,0.0381,0.00555,0.175,0.136,155.067,audio_features,1Hiidyv2886H8qj3f9JCEp,spotify:track:1Hiidyv2886H8qj3f9JCEp,https://api.spotify.com/v1/tracks/1Hiidyv2886H8qj3f9JCEp,https://api.spotify.com/v1/audio-analysis/1Hiidyv2886H8qj3f9JCEp,113048,4,Underground Rap,Goth Bitch,,1Hiidyv2886H8qj3f9JCEp,Yunggoth✰
15,0.8759999999999999,0.519,11,-6.531000000000001,1,0.143,0.2019999999999999,0.0,0.108,0.158,189.962,audio_features,1ZAyjvIk9YiD76yYy0TEG6,spotify:track:1ZAyjvIk9YiD76yYy0TEG6,https://api.spotify.com/v1/tracks/1ZAyjvIk9YiD76yYy0TEG6,https://api.spotify.com/v1/audio-analysis/1ZAyjvIk9YiD76yYy0TEG6,175230,4,Underground Rap,Plug Walk,,1ZAyjvIk9YiD76yYy0TEG6,Rich The Kid
16,0.902,0.73,7,-3.077,1,0.13,0.0153,0.0,0.0933,0.4,200.094,audio_features,729WIUjxIG67whWORcTYpt,spotify:track:729WIUjxIG67whWORcTYpt,https://api.spotify.com/v1/tracks/729WIUjxIG67whWORcTYpt,https://api.spotify.com/v1/audio-analysis/729WIUjxIG67whWORcTYpt,186890,4,Underground Rap,Don't Save Me,,729WIUjxIG67whWORcTYpt,Marshmello
17,0.78,0.7440000000000001,1,-12.055,1,0.627,0.231,1.65e-06,0.257,0.79,120.13,audio_features,1n2XVMMOmV7tkf2Muywaia,spotify:track:1n2XVMMOmV7tkf2Muywaia,https://api.spotify.com/v1/tracks/1n2XVMMOmV7tkf2Muywaia,https://api.spotify.com/v1/audio-analysis/1n2XVMMOmV7tkf2Muywaia,130000,4,Underground Rap,Let's Try It Out,,1n2XVMMOmV7tkf2Muywaia,Yury
18,0.667,0.6729999999999999,0,-7.574,1,0.3229999999999999,0.0641,4e-06,0.0975,0.669,144.256,audio_features,3DKCTIiJ97bS9TGiqcABjo,spotify:track:3DKCTIiJ97bS9TGiqcABjo,https://api.spotify.com/v1/tracks/3DKCTIiJ97bS9TGiqcABjo,https://api.spotify.com/v1/audio-analysis/3DKCTIiJ97bS9TGiqcABjo,201964,4,Underground Rap,Thiago Silva,,3DKCTIiJ97bS9TGiqcABjo,Dave
19,0.7559999999999999,0.903,7,-4.656000000000001,1,0.14,0.0298,0.385,0.29,0.7829999999999999,193.468,audio_features,0zqRPyHnLffpFT27q81V64,spotify:track:0zqRPyHnLffpFT27q81V64,https://api.spotify.com/v1/tracks/0zqRPyHnLffpFT27q81V64,https://api.spotify.com/v1/audio-analysis/0zqRPyHnLffpFT27q81V64,232600,4,Underground Rap,Me Ne Shalto,,0zqRPyHnLffpFT27q81V64,Jedi Mind Tricks
20,0.809,0.622,5,-7.338999999999999,0,0.0533,0.427,0.0226,0.0954,0.503,117.97,audio_features,7jYy4aawjf5WIDXuIeUtOm,spotify:track:7jYy4aawjf5WIDXuIeUtOm,https://api.spotify.com/v1/tracks/7jYy4aawjf5WIDXuIeUtOm,https://api.spotify.com/v1/audio-analysis/7jYy4aawjf5WIDXuIeUtOm,175961,4,Underground Rap,Really Don't Get It,,7jYy4aawjf5WIDXuIeUtOm,Prompto
21,0.8859999999999999,0.479,4,-8.054,0,0.3339999999999999,0.077,0.0,0.135,0.408,130.029,audio_features,7A20WnLkjtZU2d7hIB6Ziu,spotify:track:7A20WnLkjtZU2d7hIB6Ziu,https://api.spotify.com/v1/tracks/7A20WnLkjtZU2d7hIB6Ziu,https://api.spotify.com/v1/audio-analysis/7A20WnLkjtZU2d7hIB6Ziu,158692,4,Underground Rap,Start Wit Me (feat. Gunna),,7A20WnLkjtZU2d7hIB6Ziu,Roddy Ricch
22,0.852,0.5529999999999999,1,-7.286,1,0.187,0.0559,0.0,0.332,0.6559999999999999,142.079,audio_features,27GmP9AWRs744SzKcpJsTZ,spotify:track:27GmP9AWRs744SzKcpJsTZ,https://api.spotify.com/v1/tracks/27GmP9AWRs744SzKcpJsTZ,https://api.spotify.com/v1/audio-analysis/27GmP9AWRs744SzKcpJsTZ,205879,4,Underground Rap,Jumpman,,27GmP9AWRs744SzKcpJsTZ,Drake
