danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.943,0.558,2.0,-4.911,1.0,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,138411.0,4.0
0.552,0.702,9.0,-5.707,1.0,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427.0,4.0
0.75,0.733,6.0,-3.18,0.0,0.0319,0.256,0.0,0.114,0.844,111.018,131872.0,1.0
0.868,0.538,5.0,-8.603,1.0,0.174,0.269,3.34e-06,0.0901,0.732,99.968,231750.0,4.0
0.429,0.453,0.0,-7.746,1.0,0.0459,0.554,2e-06,0.102,0.155,77.639,227196.0,4.0
0.559,0.551,5.0,-7.231,1.0,0.132,0.141,0.0,0.11,0.392,143.008,201800.0,4.0
0.673,0.722,3.0,-3.495,0.0,0.0755,0.0856,0.0,0.137,0.519,117.187,200256.0,4.0
0.517,0.675,6.0,-5.382,1.0,0.0357,0.459,0.0,0.151,0.518,203.853,163855.0,4.0
0.712,0.603,8.0,-5.52,1.0,0.0262,0.186,0.0,0.115,0.67,97.994,265493.0,4.0
0.75,0.674,8.0,-6.128,0.0,0.097,0.228,8.91e-05,0.122,0.392,123.026,265360.0,4.0
0.656,0.757,3.0,-5.775,0.0,0.0308,0.492,0.0,0.117,0.429,139.971,177388.0,4.0
0.561,0.604,9.0,-4.409,1.0,0.0337,0.199,1.9e-05,0.104,0.242,159.92,210689.0,3.0
0.596,0.658,0.0,-7.346,1.0,0.036,0.0504,0.0,0.127,0.176,100.012,229478.0,4.0
0.85,0.699,0.0,-3.292,1.0,0.0776,0.152,0.0,0.32,0.915,114.481,114234.0,4.0
0.706,0.691,0.0,-4.775,1.0,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,200600.0,4.0
0.645,0.729,2.0,-4.56,1.0,0.0528,0.0377,0.0,0.384,0.142,146.01,319192.0,4.0
0.928,0.458,11.0,-6.751,1.0,0.187,0.0175,0.000446,0.118,0.242,144.995,172138.0,4.0
0.353,0.77,1.0,-11.066,0.0,0.0493,0.0016,0.598,0.109,0.224,145.225,267893.0,4.0
0.662,0.488,9.0,-6.894,1.0,0.0682,0.782,0.0,0.102,0.817,117.913,182347.0,4.0
0.444,0.0911,0.0,-17.665,1.0,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370.0,4.0
0.511,0.532,5.0,-5.745,1.0,0.0578,0.177,0.0,0.291,0.35,138.005,219724.0,4.0
0.502,0.771,6.0,-4.246,1.0,0.032,0.0123,1.82e-05,0.0801,0.557,157.978,197400.0,4.0
0.671,0.845,11.0,-4.93,0.0,0.048,0.0207,0.0,0.329,0.775,110.056,176579.0,4.0
0.847,0.622,1.0,-6.747,0.0,0.0903,0.119,0.0,0.285,0.22,130.001,125040.0,4.0
0.461,0.887,11.0,-4.871,0.0,0.0429,0.000219,0.0,0.104,0.411,95.964,189987.0,4.0
0.744,0.789,9.0,-4.876,0.0,0.059,0.0036,0.00144,0.0947,0.866,116.985,185918.0,4.0
0.645,0.795,7.0,-12.095,1.0,0.0527,0.347,0.00389,0.104,0.535,112.067,251489.0,4.0
0.677,0.404,0.0,-9.552,1.0,0.027,0.653,0.0,0.249,0.355,83.087,240723.0,3.0
0.47,0.64,2.0,-7.779,1.0,0.32,0.0277,0.0,0.382,0.248,163.92,247444.0,4.0
0.451,0.632,4.0,-3.843,1.0,0.0475,0.6,0.0,0.139,0.455,147.06,190461.0,4.0
0.644,0.728,8.0,-5.75,1.0,0.0351,0.0543,0.169,0.161,0.43,88.993,153947.0,4.0
0.753,0.669,7.0,-4.914,0.0,0.104,0.0378,0.0,0.122,0.584,140.948,247469.0,4.0
0.518,0.557,1.0,-4.839,1.0,0.0332,0.0258,2.46e-06,0.156,0.216,111.865,218160.0,3.0
0.751,0.819,11.0,-4.372,0.0,0.0409,0.255,0.0,0.236,0.697,131.842,172264.0,3.0
0.481,0.539,4.0,-7.865,0.0,0.108,0.551,0.00539,0.12,0.621,153.277,186678.0,4.0
0.662,0.77,0.0,-4.887,1.0,0.0367,0.0875,0.0,0.35,0.769,132.057,167535.0,4.0
0.504,0.308,9.0,-14.958,1.0,0.0321,0.868,0.135,0.158,0.121,113.95,137773.0,4.0
0.444,0.629,9.0,-4.435,1.0,0.0318,0.00544,0.0,0.271,0.376,134.931,200347.0,3.0
0.838,0.569,5.0,-6.324,0.0,0.0621,0.152,0.000136,0.102,0.551,136.965,159400.0,4.0
0.927,0.619,5.0,-4.441,0.0,0.0539,0.0186,0.0,0.104,0.817,117.995,211582.0,4.0
0.65,0.689,0.0,-3.543,1.0,0.0449,0.0878,0.0,0.172,0.294,136.03,142520.0,4.0
0.628,0.523,11.0,-8.307,0.0,0.0946,0.701,0.00274,0.219,0.416,169.982,172965.0,4.0
0.787,0.621,4.0,-5.009,0.0,0.068,0.15,0.000402,0.58,0.13,139.056,267194.0,4.0
0.575,0.56,5.0,-7.302,1.0,0.478,0.173,0.0,0.257,0.471,75.956,229938.0,4.0
0.512,0.709,2.0,-5.766,1.0,0.0329,0.0415,4.25e-06,0.107,0.261,97.981,211413.0,4.0
0.546,0.846,5.0,-5.719,1.0,0.181,0.0135,0.0,0.607,0.74,162.043,211141.0,4.0
0.781,0.567,1.0,-7.857,1.0,0.0969,0.0504,0.0,0.0981,0.0743,121.964,125902.0,4.0
0.693,0.595,8.0,-7.578,1.0,0.0311,0.0969,0.0,0.113,0.646,112.02,213817.0,4.0
0.708,0.731,3.0,-4.872,1.0,0.0345,0.0189,4.47e-06,0.129,0.379,116.975,239533.0,4.0
0.465,0.7,10.0,-5.163,0.0,0.0893,0.203,0.0,0.299,0.276,120.854,230709.0,4.0
0.663,0.67,8.0,-8.399,1.0,0.271,0.0464,8.92e-05,0.205,0.138,136.952,260111.0,4.0
0.815,0.741,1.0,-6.04,1.0,0.0569,0.0277,0.0183,0.219,0.591,125.031,143327.0,4.0
0.461,0.718,2.0,-5.627,1.0,0.0666,0.139,1.66e-05,0.0968,0.334,162.187,233869.0,4.0
0.72,0.88,9.0,-2.834,1.0,0.101,0.0562,0.06,0.153,0.463,180.011,197333.0,4.0
0.778,0.835,11.0,-3.598,0.0,0.0767,0.152,0.0,0.109,0.666,140.082,156346.0,4.0
0.787,0.686,6.0,-4.37,0.0,0.0339,0.0893,0.0,0.0927,0.836,123.51,185553.0,4.0
0.731,0.667,7.0,-7.928,0.0,0.0815,0.134,0.0,0.114,0.485,123.042,144390.0,4.0
0.842,0.756,7.0,-7.409,0.0,0.338,0.525,2.21e-06,0.0871,0.421,169.925,172798.0,4.0
0.529,0.866,3.0,-5.816,0.0,0.0452,0.00281,0.00526,0.0287,0.55,116.004,163600.0,4.0
0.583,0.351,0.0,-5.836,1.0,0.0306,0.494,0.0,0.368,0.462,79.014,227467.0,4.0
0.747,0.391,0.0,-13.767,1.0,0.052,0.529,0.003,0.111,0.195,102.984,277832.0,4.0
0.576,0.815,10.0,-3.999,0.0,0.0267,0.142,0.0,0.267,0.56,130.032,177920.0,4.0
0.521,0.366,11.0,-7.698,0.0,0.034,0.838,4.11e-06,0.12,0.225,141.965,205484.0,4.0
0.457,0.725,1.0,-5.979,1.0,0.0318,8.66e-05,0.000126,0.13,0.318,141.936,174992.0,4.0
0.909,0.762,9.0,-3.974,1.0,0.0643,0.434,0.0,0.0856,0.843,101.987,142335.0,3.0
0.498,0.764,4.0,-5.006,1.0,0.0309,0.123,3.07e-05,0.119,0.489,147.984,191231.0,4.0
0.616,0.834,9.0,-3.069,1.0,0.0664,0.06,0.0,0.338,0.746,151.701,165848.0,4.0
0.836,0.409,9.0,-14.189,1.0,0.188,0.258,4.92e-06,0.242,0.233,101.931,122321.0,4.0
0.522,0.641,8.0,-6.287,1.0,0.0318,0.0545,0.0,0.162,0.202,87.51,244685.0,4.0
0.711,0.809,2.0,-4.389,0.0,0.0955,0.0447,0.0,0.339,0.816,106.017,206020.0,4.0
0.626,0.583,0.0,-7.346,0.0,0.0318,0.276,0.0,0.141,0.428,87.977,228145.0,4.0
0.911,0.778,5.0,-2.248,1.0,0.262,0.0887,2.16e-05,0.179,0.345,96.057,162768.0,4.0
0.619,0.564,4.0,-6.517,1.0,0.0302,0.673,0.0,0.184,0.419,129.944,220146.0,4.0
0.808,0.944,10.0,-4.863,0.0,0.0408,0.183,1.11e-06,0.138,0.937,124.934,191467.0,3.0
0.544,0.573,8.0,-5.694,1.0,0.0356,0.0958,0.0,0.104,0.233,122.977,211739.0,4.0
0.524,0.209,4.0,-12.437,1.0,0.0405,0.85,0.0,0.173,0.347,148.59,232918.0,3.0
0.93,0.682,9.0,-8.799,1.0,0.331,0.028,0.0,0.129,0.962,126.003,119016.0,4.0
