id,song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,is_hot
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,0.943,0.558,2.0,-4.911,1.0,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,spotify:track:4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU,138411.0,4.0,1
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,0.552,0.702,9.0,-5.707,1.0,0.157,0.117,2.06e-05,0.105,0.564,169.994,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427.0,4.0,1
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,0.75,0.733,6.0,-3.18,0.0,0.0319,0.256,0.0,0.114,0.844,111.018,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872.0,1.0,1
2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Doja Cat,0.868,0.538,5.0,-8.603,1.0,0.174,0.269,3.34e-06,0.0901,0.732,99.968,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,231750.0,4.0,1
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,0.429,0.453,0.0,-7.746,1.0,0.0459,0.554,2e-06,0.102,0.155,77.639,spotify:track:4KULAymBBJcPRpk1yO4dOG,https://api.spotify.com/v1/tracks/4KULAymBBJcPRpk1yO4dOG,https://api.spotify.com/v1/audio-analysis/4KULAymBBJcPRpk1yO4dOG,227196.0,4.0,1
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,0.559,0.551,5.0,-7.231,1.0,0.132,0.141,0.0,0.11,0.392,143.008,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800.0,4.0,1
5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,0.673,0.722,3.0,-3.495,0.0,0.0755,0.0856,0.0,0.137,0.519,117.187,spotify:track:5aIVCx5tnk0ntmdiinnYvw,https://api.spotify.com/v1/tracks/5aIVCx5tnk0ntmdiinnYvw,https://api.spotify.com/v1/audio-analysis/5aIVCx5tnk0ntmdiinnYvw,200256.0,4.0,1
59uQI0PADDKeE6UZDTJEe8,Last Night,Morgan Wallen,0.517,0.675,6.0,-5.382,1.0,0.0357,0.459,0.0,0.151,0.518,203.853,spotify:track:59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/tracks/59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/audio-analysis/59uQI0PADDKeE6UZDTJEe8,163855.0,4.0,1
1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,0.712,0.603,8.0,-5.52,1.0,0.0262,0.186,0.0,0.115,0.67,97.994,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/tracks/1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/audio-analysis/1Lo0QY9cvc8sUB2vnIOxDT,265493.0,4.0,1
7dJYggqjKo71KI9sLzqCs8,Agora Hills,Doja Cat,0.75,0.674,8.0,-6.128,0.0,0.097,0.228,8.91e-05,0.122,0.392,123.026,spotify:track:7dJYggqjKo71KI9sLzqCs8,https://api.spotify.com/v1/tracks/7dJYggqjKo71KI9sLzqCs8,https://api.spotify.com/v1/audio-analysis/7dJYggqjKo71KI9sLzqCs8,265360.0,4.0,1
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,Morgan Wallen,0.656,0.757,3.0,-5.775,0.0,0.0308,0.492,0.0,0.117,0.429,139.971,spotify:track:0PAcdVzhPO4gq1Iym9ESnK,https://api.spotify.com/v1/tracks/0PAcdVzhPO4gq1Iym9ESnK,https://api.spotify.com/v1/audio-analysis/0PAcdVzhPO4gq1Iym9ESnK,177388.0,4.0,1
6usohdchdzW9oML7VC4Uhk,Lose Control,Teddy Swims,0.561,0.604,9.0,-4.409,1.0,0.0337,0.199,1.9e-05,0.104,0.242,159.92,spotify:track:6usohdchdzW9oML7VC4Uhk,https://api.spotify.com/v1/tracks/6usohdchdzW9oML7VC4Uhk,https://api.spotify.com/v1/audio-analysis/6usohdchdzW9oML7VC4Uhk,210689.0,3.0,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,0.0,-7.346,1.0,0.036,0.0504,0.0,0.127,0.176,100.012,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,https://api.spotify.com/v1/tracks/1Iq8oo9XkmmvCQiGOfORiz,https://api.spotify.com/v1/audio-analysis/1Iq8oo9XkmmvCQiGOfORiz,229478.0,4.0,1
0cVyQfDyRnMJ0V3rjjdlU3,Lil Boo Thang,Paul Russell,0.85,0.699,0.0,-3.292,1.0,0.0776,0.152,0.0,0.32,0.915,114.481,spotify:track:0cVyQfDyRnMJ0V3rjjdlU3,https://api.spotify.com/v1/tracks/0cVyQfDyRnMJ0V3rjjdlU3,https://api.spotify.com/v1/audio-analysis/0cVyQfDyRnMJ0V3rjjdlU3,114234.0,4.0,1
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,0.706,0.691,0.0,-4.775,1.0,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,spotify:track:7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,200600.0,4.0,1
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,0.645,0.729,2.0,-4.56,1.0,0.0528,0.0377,0.0,0.384,0.142,146.01,spotify:track:1yeB8MUNeLo9Ek1UEpsyz6,https://api.spotify.com/v1/tracks/1yeB8MUNeLo9Ek1UEpsyz6,https://api.spotify.com/v1/audio-analysis/1yeB8MUNeLo9Ek1UEpsyz6,319192.0,4.0,1
1a73gcEg6h6Re6hHXoVltJ,FTCU,Nicki Minaj,0.928,0.458,11.0,-6.751,1.0,0.187,0.0175,0.000446,0.118,0.242,144.995,spotify:track:1a73gcEg6h6Re6hHXoVltJ,https://api.spotify.com/v1/tracks/1a73gcEg6h6Re6hHXoVltJ,https://api.spotify.com/v1/audio-analysis/1a73gcEg6h6Re6hHXoVltJ,172138.0,4.0,1
7MSWxMumjz6lHj7oRApNbg,White Horse,Chris Stapleton,0.353,0.77,1.0,-11.066,0.0,0.0493,0.0016,0.598,0.109,0.224,145.225,spotify:track:7MSWxMumjz6lHj7oRApNbg,https://api.spotify.com/v1/tracks/7MSWxMumjz6lHj7oRApNbg,https://api.spotify.com/v1/audio-analysis/7MSWxMumjz6lHj7oRApNbg,267893.0,4.0,1
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,0.662,0.488,9.0,-6.894,1.0,0.0682,0.782,0.0,0.102,0.817,117.913,spotify:track:0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv,182347.0,4.0,1
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0.444,0.0911,0.0,-17.665,1.0,0.0307,0.959,1.05e-06,0.098,0.142,78.403,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/tracks/6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/audio-analysis/6wf7Yu7cxBSPrRlWeSeK0Q,222370.0,4.0,1
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,0.511,0.532,5.0,-5.745,1.0,0.0578,0.177,0.0,0.291,0.35,138.005,spotify:track:1kuGVB7EU95pJObxwvfwKS,https://api.spotify.com/v1/tracks/1kuGVB7EU95pJObxwvfwKS,https://api.spotify.com/v1/audio-analysis/1kuGVB7EU95pJObxwvfwKS,219724.0,4.0,1
07on0OB2cdPt79IFsgdRUy,Need A Favor,Jelly Roll,0.502,0.771,6.0,-4.246,1.0,0.032,0.0123,1.82e-05,0.0801,0.557,157.978,spotify:track:07on0OB2cdPt79IFsgdRUy,https://api.spotify.com/v1/tracks/07on0OB2cdPt79IFsgdRUy,https://api.spotify.com/v1/audio-analysis/07on0OB2cdPt79IFsgdRUy,197400.0,4.0,1
11C4y2Yz1XbHmaQwO06s9f,Dance The Night,Dua Lipa,0.671,0.845,11.0,-4.93,0.0,0.048,0.0207,0.0,0.329,0.775,110.056,spotify:track:11C4y2Yz1XbHmaQwO06s9f,https://api.spotify.com/v1/tracks/11C4y2Yz1XbHmaQwO06s9f,https://api.spotify.com/v1/audio-analysis/11C4y2Yz1XbHmaQwO06s9f,176579.0,4.0,1
4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,0.847,0.622,1.0,-6.747,0.0,0.0903,0.119,0.0,0.285,0.22,130.001,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS,125040.0,4.0,1
5ya0TmUQw2wHMkq36rPsnd,World on Fire,Nate Smith,0.461,0.887,11.0,-4.871,0.0,0.0429,0.000219,0.0,0.104,0.411,95.964,spotify:track:5ya0TmUQw2wHMkq36rPsnd,https://api.spotify.com/v1/tracks/5ya0TmUQw2wHMkq36rPsnd,https://api.spotify.com/v1/audio-analysis/5ya0TmUQw2wHMkq36rPsnd,189987.0,4.0,1
4OMJGnvZfDvsePyCwRGO7X,Houdini,Dua Lipa,0.744,0.789,9.0,-4.876,0.0,0.059,0.0036,0.00144,0.0947,0.866,116.985,spotify:track:4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/tracks/4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/audio-analysis/4OMJGnvZfDvsePyCwRGO7X,185918.0,4.0,1
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears,0.645,0.795,7.0,-12.095,1.0,0.0527,0.347,0.00389,0.104,0.535,112.067,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/tracks/4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/audio-analysis/4RvWPyQ5RL0ao9LPZeSouE,251489.0,4.0,1
1rnYNAJPAb586NhetosdNW,Save Me,Jelly Roll,0.677,0.404,0.0,-9.552,1.0,0.027,0.653,0.0,0.249,0.355,83.087,spotify:track:1rnYNAJPAb586NhetosdNW,https://api.spotify.com/v1/tracks/1rnYNAJPAb586NhetosdNW,https://api.spotify.com/v1/audio-analysis/1rnYNAJPAb586NhetosdNW,240723.0,3.0,1
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),Drake,0.47,0.64,2.0,-7.779,1.0,0.32,0.0277,0.0,0.382,0.248,163.92,spotify:track:7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/tracks/7aqfrAY2p9BUSiupwk3svU,https://api.spotify.com/v1/audio-analysis/7aqfrAY2p9BUSiupwk3svU,247444.0,4.0,1
41WQUSINanQHfhfKpFDsms,Used To Be Young,Miley Cyrus,0.451,0.632,4.0,-3.843,1.0,0.0475,0.6,0.0,0.139,0.455,147.06,spotify:track:41WQUSINanQHfhfKpFDsms,https://api.spotify.com/v1/tracks/41WQUSINanQHfhfKpFDsms,https://api.spotify.com/v1/audio-analysis/41WQUSINanQHfhfKpFDsms,190461.0,4.0,1
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,0.644,0.728,8.0,-5.75,1.0,0.0351,0.0543,0.169,0.161,0.43,88.993,spotify:track:3OHfY25tqY28d16oZczHc8,https://api.spotify.com/v1/tracks/3OHfY25tqY28d16oZczHc8,https://api.spotify.com/v1/audio-analysis/3OHfY25tqY28d16oZczHc8,153947.0,4.0,1
0J1YRLYhTG1MBosjidD7OI,Good Good,USHER,0.753,0.669,7.0,-4.914,0.0,0.104,0.0378,0.0,0.122,0.584,140.948,spotify:track:0J1YRLYhTG1MBosjidD7OI,https://api.spotify.com/v1/tracks/0J1YRLYhTG1MBosjidD7OI,https://api.spotify.com/v1/audio-analysis/0J1YRLYhTG1MBosjidD7OI,247469.0,4.0,1
2gT2iF1YK5r54A2PDEXVv8,Pretty Little Poison,Warren Zeiders,0.518,0.557,1.0,-4.839,1.0,0.0332,0.0258,2.46e-06,0.156,0.216,111.865,spotify:track:2gT2iF1YK5r54A2PDEXVv8,https://api.spotify.com/v1/tracks/2gT2iF1YK5r54A2PDEXVv8,https://api.spotify.com/v1/audio-analysis/2gT2iF1YK5r54A2PDEXVv8,218160.0,3.0,1
0R6NfOiLzLj4O5VbYSJAjf,La Diabla,Xavi,0.751,0.819,11.0,-4.372,0.0,0.0409,0.255,0.0,0.236,0.697,131.842,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf,172264.0,3.0,1
1o8Z7GD1CeOaVBEyuzu4HO,On My Mama,Victoria Monét,0.481,0.539,4.0,-7.865,0.0,0.108,0.551,0.00539,0.12,0.621,153.277,spotify:track:1o8Z7GD1CeOaVBEyuzu4HO,https://api.spotify.com/v1/tracks/1o8Z7GD1CeOaVBEyuzu4HO,https://api.spotify.com/v1/audio-analysis/1o8Z7GD1CeOaVBEyuzu4HO,186678.0,4.0,1
73NzYbpaYvQ7JfpjztFESL,TRUCK BED,HARDY,0.662,0.77,0.0,-4.887,1.0,0.0367,0.0875,0.0,0.35,0.769,132.057,spotify:track:73NzYbpaYvQ7JfpjztFESL,https://api.spotify.com/v1/tracks/73NzYbpaYvQ7JfpjztFESL,https://api.spotify.com/v1/audio-analysis/73NzYbpaYvQ7JfpjztFESL,167535.0,4.0,1
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,0.504,0.308,9.0,-14.958,1.0,0.0321,0.868,0.135,0.158,0.121,113.95,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,137773.0,4.0,1
7hZTywPKMdVjJzwdWu11BK,Save Me The Trouble,Dan + Shay,0.444,0.629,9.0,-4.435,1.0,0.0318,0.00544,0.0,0.271,0.376,134.931,spotify:track:7hZTywPKMdVjJzwdWu11BK,https://api.spotify.com/v1/tracks/7hZTywPKMdVjJzwdWu11BK,https://api.spotify.com/v1/audio-analysis/7hZTywPKMdVjJzwdWu11BK,200347.0,3.0,1
0HD8mbiPjp3o94X3EaZp0o,exes,Tate McRae,0.838,0.569,5.0,-6.324,0.0,0.0621,0.152,0.000136,0.102,0.551,136.965,spotify:track:0HD8mbiPjp3o94X3EaZp0o,https://api.spotify.com/v1/tracks/0HD8mbiPjp3o94X3EaZp0o,https://api.spotify.com/v1/audio-analysis/0HD8mbiPjp3o94X3EaZp0o,159400.0,4.0,1
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,Travis Scott,0.927,0.619,5.0,-4.441,0.0,0.0539,0.0186,0.0,0.104,0.817,117.995,spotify:track:6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/tracks/6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/audio-analysis/6wsqVwoiVH2kde4k4KKAFU,211582.0,4.0,1
2kE2HFBFkJ0VMw3igxYohz,Wild Ones (feat. Jelly Roll),Jessie Murph,0.65,0.689,0.0,-3.543,1.0,0.0449,0.0878,0.0,0.172,0.294,136.03,spotify:track:2kE2HFBFkJ0VMw3igxYohz,https://api.spotify.com/v1/tracks/2kE2HFBFkJ0VMw3igxYohz,https://api.spotify.com/v1/audio-analysis/2kE2HFBFkJ0VMw3igxYohz,142520.0,4.0,1
5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,0.628,0.523,11.0,-8.307,0.0,0.0946,0.701,0.00274,0.219,0.416,169.982,spotify:track:5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s,172965.0,4.0,1
4MjDJD8cW7iVeWInc2Bdyj,MONACO,Bad Bunny,0.787,0.621,4.0,-5.009,0.0,0.068,0.15,0.000402,0.58,0.13,139.056,spotify:track:4MjDJD8cW7iVeWInc2Bdyj,https://api.spotify.com/v1/tracks/4MjDJD8cW7iVeWInc2Bdyj,https://api.spotify.com/v1/audio-analysis/4MjDJD8cW7iVeWInc2Bdyj,267194.0,4.0,1
1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),JID,0.575,0.56,5.0,-7.302,1.0,0.478,0.173,0.0,0.257,0.471,75.956,spotify:track:1udwFobQ1JoOdWPQrp2b6u,https://api.spotify.com/v1/tracks/1udwFobQ1JoOdWPQrp2b6u,https://api.spotify.com/v1/audio-analysis/1udwFobQ1JoOdWPQrp2b6u,229938.0,4.0,1
6UoKX6uLJwhsnyTp5k5StP,The Painter,Cody Johnson,0.512,0.709,2.0,-5.766,1.0,0.0329,0.0415,4.25e-06,0.107,0.261,97.981,spotify:track:6UoKX6uLJwhsnyTp5k5StP,https://api.spotify.com/v1/tracks/6UoKX6uLJwhsnyTp5k5StP,https://api.spotify.com/v1/audio-analysis/6UoKX6uLJwhsnyTp5k5StP,211413.0,4.0,1
2gyxAWHebV7xPYVxqoi86f,get him back!,Olivia Rodrigo,0.546,0.846,5.0,-5.719,1.0,0.181,0.0135,0.0,0.607,0.74,162.043,spotify:track:2gyxAWHebV7xPYVxqoi86f,https://api.spotify.com/v1/tracks/2gyxAWHebV7xPYVxqoi86f,https://api.spotify.com/v1/audio-analysis/2gyxAWHebV7xPYVxqoi86f,211141.0,4.0,1
6uTPdRrEDeH8Fyg5L5qmeU,Never Lose Me,Flo Milli,0.781,0.567,1.0,-7.857,1.0,0.0969,0.0504,0.0,0.0981,0.0743,121.964,spotify:track:6uTPdRrEDeH8Fyg5L5qmeU,https://api.spotify.com/v1/tracks/6uTPdRrEDeH8Fyg5L5qmeU,https://api.spotify.com/v1/audio-analysis/6uTPdRrEDeH8Fyg5L5qmeU,125902.0,4.0,1
0caJ2wkqp4UmXBwdR2JvB5,Dial Drunk,Noah Kahan,0.693,0.595,8.0,-7.578,1.0,0.0311,0.0969,0.0,0.113,0.646,112.02,spotify:track:0caJ2wkqp4UmXBwdR2JvB5,https://api.spotify.com/v1/tracks/0caJ2wkqp4UmXBwdR2JvB5,https://api.spotify.com/v1/audio-analysis/0caJ2wkqp4UmXBwdR2JvB5,213817.0,4.0,1
0eBFgRxyVSeuT4iyrbukdn,Where the Wild Things Are,Luke Combs,0.708,0.731,3.0,-4.872,1.0,0.0345,0.0189,4.47e-06,0.129,0.379,116.975,spotify:track:0eBFgRxyVSeuT4iyrbukdn,https://api.spotify.com/v1/tracks/0eBFgRxyVSeuT4iyrbukdn,https://api.spotify.com/v1/audio-analysis/0eBFgRxyVSeuT4iyrbukdn,239533.0,4.0,1
5Se32hEA9raeboZerywxka,You Broke My Heart,Drake,0.465,0.7,10.0,-5.163,0.0,0.0893,0.203,0.0,0.299,0.276,120.854,spotify:track:5Se32hEA9raeboZerywxka,https://api.spotify.com/v1/tracks/5Se32hEA9raeboZerywxka,https://api.spotify.com/v1/audio-analysis/5Se32hEA9raeboZerywxka,230709.0,4.0,1
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),Drake,0.663,0.67,8.0,-8.399,1.0,0.271,0.0464,8.92e-05,0.205,0.138,136.952,spotify:track:2YSzYUF3jWqb9YP9VXmpjE,https://api.spotify.com/v1/tracks/2YSzYUF3jWqb9YP9VXmpjE,https://api.spotify.com/v1/audio-analysis/2YSzYUF3jWqb9YP9VXmpjE,260111.0,4.0,1
